xdata ydata 
0.0 3.298112988511958e-05 
1.0 3.717775117382239e-05 
2.0 4.132122233712659e-05 
3.0 4.5325637786044806e-05 
4.0 4.931556462556349e-05 
5.0 5.270240792189667e-05 
6.0 5.548908754327067e-05 
7.0 5.791448259996822e-05 
8.0 6.021082902406368e-05 
9.0 6.197538002788156e-05 
10.0 6.344000734993127e-05 
11.0 6.480124819178808e-05 
12.0 6.579784552024236e-05 
13.0 6.653639481048789e-05 
14.0 6.714602184819702e-05 
15.0 6.777218534092083e-05 
16.0 6.829282599446371e-05 
17.0 6.865654674555808e-05 
18.0 6.88342477884735e-05 
19.0 6.894829039670186e-05 
20.0 6.92492412557755e-05 
21.0 6.937445128769931e-05 
22.0 6.953518604892575e-05 
23.0 6.971093499423573e-05 
24.0 6.984226660057186e-05 
25.0 6.997203308807785e-05 
26.0 6.991262163082068e-05 
27.0 6.997634385872771e-05 
28.0 6.995775817874492e-05 
29.0 7.003308320748601e-05 
