xdata ydata 
0.0 2.928094583609722e-05 
1.0 3.0288591800267013e-05 
2.0 3.1179089991087764e-05 
3.0 3.221232730544021e-05 
4.0 3.322205705165211e-05 
5.0 3.43832895473784e-05 
6.0 3.536631597403154e-05 
7.0 3.616151018790389e-05 
8.0 3.708513720127225e-05 
9.0 3.802014731829123e-05 
10.0 3.878147749588132e-05 
11.0 3.9487278187236156e-05 
12.0 4.007555706278494e-05 
13.0 4.060733207916262e-05 
14.0 4.1123065948125046e-05 
15.0 4.152299963180958e-05 
16.0 4.180663928622401e-05 
17.0 4.212779623619572e-05 
18.0 4.251798393112467e-05 
19.0 4.287250285717162e-05 
